PulseResult

Table 1
Table No [#]	Vc+ [V]	Vc- [V]	Px [uC/cm2]	Pr+ [uC/cm2]	Pr- [uC/cm2]	Prrel+ [uC/cm2]	Prrel- [uC/cm2]	Psw [uC/cm2]	Pnsw [uC/cm2]	dPsw [uC/cm2]	Wloss [uJ/cm2]	Rav [Ohm]	Measurement Status []	Vmax+ [V]	Vmax- [V]	Pvmax+ [uC/cm2]	Pvmax- [uC/cm2]	Ipk+ [A]	Ipk- [A]	Write Pulse Time [s]	Write Pulse Rise Time [s]	Write Pulse Amplitude [V]	Pund Frequency [Hz]	Pund Amplitude [V]	Write Pulse Delay [s]	Pulse Points []	Read Pulse Delay [s]	Number of pulses []	Current Range []	
1.000000e+000	9.596670e-001	-1.966030e+000	-8.251400e+001	9.667890e+001	-8.616620e+001	9.245780e+001	-7.389290e+001	2.558050e+002	8.945420e+001	1.663510e+002	5.854210e+002	3.565640e+005	0.000000e+000	2.999870e+000	-2.956390e+000	1.819120e+002	-1.819120e+002	2.195910e-004	-2.077160e-004	1.000000e-003	1.000000e-003	3.000000e+000	2.500000e+003	3.000000e+000	1.990000e-001	4.010000e+002	1.000000e-003	5.000000e+000	5.000000e+000	

Pulse
Program: aixPlorer Software version 3.0.64.0
TimeStamp: 06/09/2025 18:39:37
TfaModule: PM
ProgramMode: 0
TfaFileType: data
BasicUnit: BU1012-1
TfaVersion: 4.4.0

Table 1
Timestamp: 06/09/2025 18:39:37
TableVersion: 4.4.0
Number of pulses: 5
Pulse Sequence: 0XUNDP-
Pulse Points: 401
Monitoring: YES
SampleName: 123
Area [mm2]: 0.0025
Thickness [nm]: 9
Number Of Ceramic Layers: 1
Current Range: 5 (1mA)
Voltage Monitor Range: passive monitor
Pund Frequency [Hz]: 2500
Pund Amplitude [V]: 3
Write Pulse Time [s]: 0.001
Write Pulse Rise Time [s]: 0.001
Write Pulse Amplitude [V]: 3
Waveform: 0
Read Pulse Delay [s]: 0.001
Write Pulse Delay [s]: 0.199
Settings: OM MON
Pvmax+ [uC/cm2]: 181.912
Pvmax- [uC/cm2]: -181.912
Pr+ [uC/cm2]: 96.6789
Pr- [uC/cm2]: -86.1662
Prrel+ [uC/cm2]: 92.4578
Prrel- [uC/cm2]: -73.8929
Px [uC/cm2]: -82.514
Pnsw [uC/cm2]: 89.4542
Psw [uC/cm2]: 255.805
dPsw [uC/cm2]: 166.351
Vc+ [V]: 0.959667
Vc- [V]: -1.96603
Rav [Ohm]: 356564
Wloss [uJ/cm2]: 585.421
Vmax+ [V]: 2.99987
Vmax- [V]: -2.95639
Ipk+ [A]: 0.000219591
Ipk- [A]: -0.000207716
Basic System: TFAnalyzer 3000
Measure Head: FE 929-2HSIN
MeasureHal Profile: default
Program Version: 3.0.64.0
Operator: Unknown
HV Amplifier: FE-Head (Monitored)
Measurement Topology: electrical 3, strain 3
Measurement Status: 0
Time [s]	V [V]	I [A]	P [uC/cm2]	Time [s]	V [V]	I [A]	P [uC/cm2]	Time [s]	V [V]	I [A]	P [uC/cm2]	Time [s]	V [V]	I [A]	P [uC/cm2]	Time [s]	V [V]	I [A]	P [uC/cm2]	
7.481359e-006	2.485057e-001	2.506084e-005	-7.655063e+001	1.207481e-003	2.252515e-001	2.053862e-005	9.713959e+001	2.407481e-003	-1.825572e-001	-1.925708e-005	8.751401e+001	3.607481e-003	-1.820054e-001	-1.600736e-005	-7.893183e+001	4.807481e-003	2.258534e-001	2.327327e-005	-7.093115e+001	
8.229495e-006	2.698367e-001	2.554305e-005	-7.579346e+001	1.208229e-003	2.486756e-001	1.972216e-005	9.774200e+001	2.408229e-003	-2.054685e-001	-2.064822e-005	8.691692e+001	3.608229e-003	-2.052073e-001	-1.771431e-005	-7.943639e+001	4.808229e-003	2.487284e-001	2.589437e-005	-7.019547e+001	
8.977631e-006	2.940469e-001	2.700401e-005	-7.500721e+001	1.208978e-003	2.702477e-001	1.947259e-005	9.832846e+001	2.408978e-003	-2.284616e-001	-1.938981e-005	8.631784e+001	3.608978e-003	-2.273601e-001	-2.060852e-005	-8.000981e+001	4.808978e-003	2.736683e-001	2.279904e-005	-6.946688e+001	
9.725767e-006	3.163386e-001	3.322438e-005	-7.410603e+001	1.209726e-003	2.930956e-001	1.908613e-005	9.890540e+001	2.409726e-003	-2.502528e-001	-2.029547e-005	8.572404e+001	3.609726e-003	-2.498123e-001	-1.879705e-005	-8.059942e+001	4.809726e-003	2.947672e-001	2.714913e-005	-6.871952e+001	
1.047390e-005	3.377222e-001	2.642658e-005	-7.321349e+001	1.210474e-003	3.156495e-001	1.929407e-005	9.947968e+001	2.410474e-003	-2.733207e-001	-1.987963e-005	8.512291e+001	3.610474e-003	-2.723183e-001	-2.303313e-005	-8.122531e+001	4.810474e-003	3.180040e-001	2.570565e-005	-6.792867e+001	
1.122204e-005	3.604076e-001	3.168327e-005	-7.234401e+001	1.211222e-003	3.374381e-001	2.012502e-005	1.000695e+002	2.411222e-003	-2.944096e-001	-2.133451e-005	8.450624e+001	3.611222e-003	-2.953098e-001	-2.208853e-005	-8.190046e+001	4.811222e-003	3.400468e-001	2.706566e-005	-6.713907e+001	
1.197017e-005	3.833431e-001	3.962090e-005	-7.127711e+001	1.211970e-003	3.585374e-001	1.900734e-005	1.006550e+002	2.411970e-003	-3.158353e-001	-2.217491e-005	8.385522e+001	3.611970e-003	-3.163000e-001	-2.195591e-005	-8.255948e+001	4.811970e-003	3.605030e-001	2.899489e-005	-6.630025e+001	
1.271831e-005	4.039842e-001	3.691707e-005	-7.013189e+001	1.212718e-003	3.817758e-001	2.167693e-005	1.012638e+002	2.412718e-003	-3.403299e-001	-2.271758e-005	8.318350e+001	3.612718e-003	-3.391974e-001	-2.153285e-005	-8.321019e+001	4.812718e-003	3.841387e-001	2.609021e-005	-6.547603e+001	
1.346645e-005	4.273785e-001	3.642450e-005	-6.903450e+001	1.213466e-003	4.045665e-001	1.869347e-005	1.018678e+002	2.413466e-003	-3.615176e-001	-1.433913e-005	8.262903e+001	3.613466e-003	-3.597580e-001	-2.131288e-005	-8.385128e+001	4.813466e-003	4.053818e-001	3.247727e-005	-6.459970e+001	
1.421458e-005	4.483227e-001	3.763017e-005	-6.792644e+001	1.214215e-003	4.265830e-001	2.048139e-005	1.024540e+002	2.414215e-003	-3.855246e-001	-2.310238e-005	8.206881e+001	3.614215e-003	-3.829186e-001	-2.366948e-005	-8.452434e+001	4.814215e-003	4.287941e-001	3.236833e-005	-6.362943e+001	
1.496272e-005	4.718593e-001	3.917450e-005	-6.677724e+001	1.214963e-003	4.484994e-001	2.220942e-005	1.030928e+002	2.414963e-003	-4.064323e-001	-1.946803e-005	8.143184e+001	3.614963e-003	-4.064706e-001	-2.191581e-005	-8.520642e+001	4.814963e-003	4.513130e-001	3.507777e-005	-6.262026e+001	
1.571085e-005	4.940375e-001	4.196505e-005	-6.556317e+001	1.215711e-003	4.688344e-001	2.010225e-005	1.037258e+002	2.415711e-003	-4.300995e-001	-2.417261e-005	8.077886e+001	3.615711e-003	-4.290087e-001	-2.525187e-005	-8.591217e+001	4.815711e-003	4.728403e-001	3.971793e-005	-6.150111e+001	
1.645899e-005	5.179206e-001	4.649156e-005	-6.423962e+001	1.216459e-003	4.936026e-001	1.970927e-005	1.043215e+002	2.416459e-003	-4.523751e-001	-2.154927e-005	8.009473e+001	3.616459e-003	-4.506183e-001	-2.232768e-005	-8.662409e+001	4.816459e-003	4.948872e-001	4.091822e-005	-6.029457e+001	
1.720713e-005	5.373559e-001	4.701201e-005	-6.284055e+001	1.217207e-003	5.154315e-001	1.828120e-005	1.048900e+002	2.417207e-003	-4.738600e-001	-1.949901e-005	7.948054e+001	3.617207e-003	-4.736718e-001	-2.222683e-005	-8.729075e+001	4.817207e-003	5.189912e-001	4.643069e-005	-5.898760e+001	
1.795526e-005	5.620067e-001	4.935008e-005	-6.139871e+001	1.217955e-003	5.369434e-001	1.870477e-005	1.054434e+002	2.417955e-003	-4.964758e-001	-2.243357e-005	7.885311e+001	3.617955e-003	-4.964562e-001	-2.360355e-005	-8.797650e+001	4.817955e-003	5.401327e-001	4.673235e-005	-5.759362e+001	
1.870340e-005	5.831328e-001	5.416674e-005	-5.984982e+001	1.218703e-003	5.605938e-001	2.091516e-005	1.060362e+002	2.418703e-003	-5.180890e-001	-2.242671e-005	7.818188e+001	3.618703e-003	-5.186833e-001	-1.973816e-005	-8.862501e+001	4.818703e-003	5.625484e-001	5.358677e-005	-5.609258e+001	
1.945153e-005	6.060709e-001	5.444927e-005	-5.822463e+001	1.219452e-003	5.832938e-001	2.001330e-005	1.066486e+002	2.419452e-003	-5.405014e-001	-2.368790e-005	7.749188e+001	3.619452e-003	-5.391465e-001	-2.162205e-005	-8.924387e+001	4.819452e-003	5.844051e-001	5.241921e-005	-5.450644e+001	
2.019967e-005	6.281375e-001	5.881219e-005	-5.652993e+001	1.220200e-003	6.047051e-001	2.125651e-005	1.072661e+002	2.420200e-003	-5.624629e-001	-2.237457e-005	7.680266e+001	3.620200e-003	-5.632455e-001	-2.112855e-005	-8.988353e+001	4.820200e-003	6.074316e-001	5.573354e-005	-5.288818e+001	
2.094781e-005	6.521673e-001	6.380572e-005	-5.469523e+001	1.220948e-003	6.286671e-001	2.023563e-005	1.078870e+002	2.420948e-003	-5.854370e-001	-2.512940e-005	7.609187e+001	3.620948e-003	-5.859514e-001	-2.183983e-005	-9.052646e+001	4.820948e-003	6.290308e-001	6.387336e-005	-5.109854e+001	
2.169594e-005	6.744245e-001	6.685315e-005	-5.274022e+001	1.221696e-003	6.509256e-001	2.079641e-005	1.085009e+002	2.421696e-003	-6.075327e-001	-2.017665e-005	7.541397e+001	3.621696e-003	-6.092938e-001	-2.291319e-005	-9.119608e+001	4.821696e-003	6.507729e-001	7.038516e-005	-4.908966e+001	
2.244408e-005	6.970316e-001	6.923813e-005	-5.070392e+001	1.222444e-003	6.731895e-001	2.011944e-005	1.091131e+002	2.422444e-003	-6.309600e-001	-2.439248e-005	7.474710e+001	3.622444e-003	-6.302179e-001	-2.245690e-005	-9.187494e+001	4.822444e-003	6.733993e-001	7.050514e-005	-4.698156e+001	
2.319221e-005	7.177915e-001	7.372252e-005	-4.856484e+001	1.223192e-003	6.960040e-001	2.141413e-005	1.097346e+002	2.423192e-003	-6.521168e-001	-2.433187e-005	7.401805e+001	3.623192e-003	-6.528434e-001	-2.271592e-005	-9.255085e+001	4.823192e-003	6.937126e-001	8.616427e-005	-4.463736e+001	
2.394035e-005	7.396363e-001	7.936805e-005	-4.627419e+001	1.223940e-003	7.175993e-001	2.203210e-005	1.103846e+002	2.423940e-003	-6.746150e-001	-2.141436e-005	7.333356e+001	3.623940e-003	-6.744716e-001	-2.297546e-005	-9.323452e+001	4.823940e-003	7.178434e-001	9.245489e-005	-4.196473e+001	
2.468849e-005	7.626529e-001	8.693884e-005	-4.378579e+001	1.224688e-003	7.419805e-001	2.329760e-005	1.110629e+002	2.424688e-003	-6.971558e-001	-2.264182e-005	7.267436e+001	3.624688e-003	-6.971052e-001	-2.271028e-005	-9.391810e+001	4.824688e-003	7.397320e-001	9.894878e-005	-3.910081e+001	
2.543662e-005	7.849994e-001	9.191577e-005	-4.110964e+001	1.225437e-003	7.626464e-001	2.259406e-005	1.117496e+002	2.425437e-003	-7.212777e-001	-2.384280e-005	7.197882e+001	3.625437e-003	-7.203029e-001	-2.319287e-005	-9.460494e+001	4.825437e-003	7.637514e-001	1.030881e-004	-3.607779e+001	
2.618476e-005	8.078168e-001	1.033611e-004	-3.818776e+001	1.226185e-003	7.852668e-001	1.906698e-005	1.123729e+002	2.426185e-003	-7.422891e-001	-2.068010e-005	7.131264e+001	3.626185e-003	-7.421883e-001	-2.219650e-005	-9.528409e+001	4.826185e-003	7.852128e-001	1.118406e-004	-3.286188e+001	
2.693289e-005	8.299714e-001	1.055622e-004	-3.506170e+001	1.226933e-003	8.084729e-001	2.395511e-005	1.130167e+002	2.426933e-003	-7.642205e-001	-2.339358e-005	7.065318e+001	3.626933e-003	-7.642329e-001	-2.012291e-005	-9.591730e+001	4.826933e-003	8.071073e-001	1.193759e-004	-2.940225e+001	
2.768103e-005	8.522236e-001	1.147794e-004	-3.176479e+001	1.227681e-003	8.293851e-001	2.017434e-005	1.136770e+002	2.427681e-003	-7.870021e-001	-2.361280e-005	6.994983e+001	3.627681e-003	-7.865783e-001	-2.160543e-005	-9.654167e+001	4.827681e-003	8.308248e-001	1.246407e-004	-2.575109e+001	
2.842916e-005	8.757405e-001	1.221566e-004	-2.821959e+001	1.228429e-003	8.514050e-001	2.088192e-005	1.142913e+002	2.428429e-003	-8.087671e-001	-2.509542e-005	6.922103e+001	3.628429e-003	-8.089134e-001	-2.410645e-005	-9.722564e+001	4.828429e-003	8.546493e-001	1.340300e-004	-2.188068e+001	
2.917730e-005	8.977953e-001	1.281137e-004	-2.447486e+001	1.229177e-003	8.742232e-001	2.040470e-005	1.149090e+002	2.429177e-003	-8.316446e-001	-2.399637e-005	6.848648e+001	3.629177e-003	-8.319301e-001	-2.479806e-005	-9.795739e+001	4.829177e-003	8.755472e-001	1.393350e-004	-1.779039e+001	
2.992544e-005	9.207592e-001	1.374086e-004	-2.050193e+001	1.229925e-003	8.957469e-001	2.452306e-005	1.155813e+002	2.429925e-003	-8.542414e-001	-2.495937e-005	6.775397e+001	3.629925e-003	-8.533141e-001	-2.259563e-005	-9.866653e+001	4.829925e-003	8.983822e-001	1.515955e-004	-1.343728e+001	
3.067357e-005	9.414577e-001	1.515658e-004	-1.617808e+001	1.230674e-003	9.173325e-001	1.767094e-005	1.162126e+002	2.430674e-003	-8.777475e-001	-2.446987e-005	6.701437e+001	3.630674e-003	-8.764923e-001	-2.427908e-005	-9.936790e+001	4.830674e-003	9.215042e-001	1.563097e-004	-8.830185e+000	
3.142171e-005	9.628329e-001	1.597930e-004	-1.151931e+001	1.231422e-003	9.419449e-001	2.171853e-005	1.168020e+002	2.431422e-003	-8.990291e-001	-2.512866e-005	6.627224e+001	3.631422e-003	-8.991312e-001	-2.343272e-005	-1.000818e+002	4.831422e-003	9.419173e-001	1.635464e-004	-4.044269e+000	
3.216984e-005	9.865928e-001	1.694832e-004	-6.592443e+000	1.232170e-003	9.637960e-001	1.954483e-005	1.174194e+002	2.432170e-003	-9.226192e-001	-2.605658e-005	6.550637e+001	3.632170e-003	-9.214159e-001	-2.447536e-005	-1.007986e+002	4.832170e-003	9.641958e-001	1.757073e-004	1.031889e+000	
3.291798e-005	1.008702e+000	1.742705e-004	-1.448954e+000	1.232918e-003	9.864669e-001	1.963784e-005	1.180057e+002	2.432918e-003	-9.473256e-001	-2.649535e-005	6.472005e+001	3.632918e-003	-9.448400e-001	-2.544708e-005	-1.015456e+002	4.832918e-003	9.879274e-001	1.820726e-004	6.385248e+000	
3.366612e-005	1.031114e+000	1.804325e-004	3.858367e+000	1.233666e-003	1.009020e+000	2.105362e-005	1.186145e+002	2.433666e-003	-9.671415e-001	-2.855663e-005	6.389633e+001	3.633666e-003	-9.655504e-001	-2.603895e-005	-1.023160e+002	4.833666e-003	1.011192e+000	1.927604e-004	1.199377e+001	
3.441425e-005	1.053311e+000	1.862362e-004	9.344727e+000	1.234414e-003	1.030248e+000	2.573997e-005	1.193147e+002	2.434414e-003	-9.891066e-001	-2.727350e-005	6.306096e+001	3.634414e-003	-9.882964e-001	-2.602912e-005	-1.030951e+002	4.834414e-003	1.032503e+000	2.038230e-004	1.792773e+001	
3.516239e-005	1.075133e+000	1.944279e-004	1.504050e+001	1.235162e-003	1.053003e+000	2.162023e-005	1.200233e+002	2.435162e-003	-1.009798e+000	-2.807691e-005	6.223276e+001	3.635162e-003	-1.010098e+000	-2.412989e-005	-1.038456e+002	4.835162e-003	1.053623e+000	2.195910e-004	2.426316e+001	
3.591052e-005	1.099264e+000	2.005603e-004	2.095059e+001	1.235911e-003	1.075010e+000	1.916287e-005	1.206335e+002	2.435911e-003	-1.033895e+000	-2.646285e-005	6.141670e+001	3.635911e-003	-1.031993e+000	-2.117529e-005	-1.045235e+002	4.835911e-003	1.077921e+000	2.138782e-004	3.074903e+001	
3.665866e-005	1.122127e+000	2.035528e-004	2.699722e+001	1.236659e-003	1.097864e+000	2.184474e-005	1.212471e+002	2.436659e-003	-1.056682e+000	-2.332183e-005	6.067179e+001	3.636659e-003	-1.055121e+000	-2.907013e-005	-1.052753e+002	4.836659e-003	1.099188e+000	2.166660e-004	3.719114e+001	
3.740680e-005	1.144127e+000	2.068015e-004	3.313724e+001	1.237407e-003	1.119788e+000	2.245284e-005	1.219099e+002	2.437407e-003	-1.078116e+000	-2.661759e-005	5.992456e+001	3.637407e-003	-1.078067e+000	-2.395796e-005	-1.060687e+002	4.837407e-003	1.122085e+000	2.174340e-004	4.368646e+001	
3.815493e-005	1.166886e+000	2.059204e-004	3.931268e+001	1.238155e-003	1.143268e+000	2.100149e-005	1.225601e+002	2.438155e-003	-1.100767e+000	-2.746706e-005	5.911530e+001	3.638155e-003	-1.099333e+000	-2.556220e-005	-1.068097e+002	4.838155e-003	1.144024e+000	2.107140e-004	5.009272e+001	
3.890307e-005	1.187989e+000	2.062721e-004	4.548020e+001	1.238903e-003	1.165937e+000	2.391121e-005	1.232322e+002	2.438903e-003	-1.122710e+000	-2.784876e-005	5.828763e+001	3.638903e-003	-1.121580e+000	-2.339953e-005	-1.075423e+002	4.838903e-003	1.166578e+000	2.069681e-004	5.634238e+001	
3.965120e-005	1.211106e+000	2.044429e-004	5.162561e+001	1.239651e-003	1.187992e+000	2.146567e-005	1.239111e+002	2.439651e-003	-1.144936e+000	-2.854072e-005	5.744389e+001	3.639651e-003	-1.143933e+000	-2.576955e-005	-1.082780e+002	4.839651e-003	1.188561e+000	1.989929e-004	6.241666e+001	
4.039934e-005	1.232558e+000	1.998710e-004	5.767525e+001	1.240399e-003	1.210936e+000	2.337320e-005	1.245820e+002	2.440399e-003	-1.167730e+000	-2.696878e-005	5.661332e+001	3.640399e-003	-1.166528e+000	-2.436474e-005	-1.090281e+002	4.840399e-003	1.211515e+000	1.914641e-004	6.825895e+001	
4.114748e-005	1.255262e+000	1.940849e-004	6.356990e+001	1.241147e-003	1.233307e+000	2.093639e-005	1.252450e+002	2.441147e-003	-1.188643e+000	-2.958079e-005	5.576718e+001	3.641147e-003	-1.190376e+000	-2.278381e-005	-1.097336e+002	4.841147e-003	1.232850e+000	1.871484e-004	7.392403e+001	
4.189561e-005	1.277544e+000	1.878486e-004	6.928466e+001	1.241896e-003	1.256100e+000	2.164084e-005	1.258821e+002	2.441896e-003	-1.212567e+000	-2.989278e-005	5.487730e+001	3.641896e-003	-1.210970e+000	-2.773681e-005	-1.104895e+002	4.841896e-003	1.256826e+000	1.857129e-004	7.950305e+001	
4.264375e-005	1.300681e+000	1.831146e-004	7.483528e+001	1.242644e-003	1.279203e+000	2.114332e-005	1.265223e+002	2.442644e-003	-1.235265e+000	-3.018847e-005	5.397832e+001	3.642644e-003	-1.234647e+000	-2.317922e-005	-1.112514e+002	4.842644e-003	1.277859e+000	1.689976e-004	8.481048e+001	
4.339188e-005	1.323676e+000	1.719966e-004	8.014871e+001	1.243392e-003	1.300799e+000	2.135037e-005	1.271581e+002	2.443392e-003	-1.256895e+000	-3.213360e-005	5.304581e+001	3.643392e-003	-1.256634e+000	-2.742678e-005	-1.120086e+002	4.843392e-003	1.301669e+000	1.554251e-004	8.966473e+001	
4.414002e-005	1.344677e+000	1.616601e-004	8.514112e+001	1.244140e-003	1.323234e+000	2.312182e-005	1.278235e+002	2.444140e-003	-1.280263e+000	-3.049422e-005	5.210873e+001	3.644140e-003	-1.278324e+000	-2.385201e-005	-1.127758e+002	4.844140e-003	1.323762e+000	1.426308e-004	9.412445e+001	
4.488815e-005	1.366749e+000	1.500458e-004	8.980509e+001	1.244888e-003	1.344394e+000	2.241070e-005	1.285048e+002	2.444888e-003	-1.301284e+000	-3.253375e-005	5.116566e+001	3.644888e-003	-1.300447e+000	-2.636678e-005	-1.135272e+002	4.844888e-003	1.345551e+000	1.165384e-004	9.800233e+001	
4.563629e-005	1.389621e+000	1.370417e-004	9.410070e+001	1.245636e-003	1.368123e+000	2.344525e-005	1.291909e+002	2.445636e-003	-1.324649e+000	-3.252716e-005	5.019217e+001	3.645636e-003	-1.324602e+000	-2.305934e-005	-1.142668e+002	4.845636e-003	1.367498e+000	1.036773e-004	1.012974e+002	
4.638443e-005	1.411663e+000	1.229703e-004	9.799118e+001	1.246384e-003	1.390814e+000	2.470507e-005	1.299114e+002	2.446384e-003	-1.345481e+000	-3.384898e-005	4.919900e+001	3.646384e-003	-1.347296e+000	-2.179143e-005	-1.149379e+002	4.846384e-003	1.389516e+000	8.499252e-005	1.041204e+002	
4.713256e-005	1.433746e+000	1.088089e-004	1.014592e+002	1.247133e-003	1.412175e+000	2.307015e-005	1.306262e+002	2.447133e-003	-1.368403e+000	-3.598299e-005	4.815412e+001	3.647133e-003	-1.368382e+000	-2.576947e-005	-1.156495e+002	4.847133e-003	1.414389e+000	7.396933e-005	1.064989e+002	
